Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Ask,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SPX,SPX Index,150903,16:00:00,, ,,,,,,,,,1,0,,,,,1951
,SPX 15U1510D4,SepW1 1510 Puts,150903,16:00:00,1510,P,150904,,0,,0.05,,,442,0,0,0,0,0,0,-1
,SPX 15U1510D11,SepW2 1510 Puts,150903,16:00:00,1510,P,150911,,0.01,0.05,0.2,,,168,-0.013,0,0.374,-0.741,-0.016,0,-1
,SPX 15U1510,Sep 1510 Puts,150903,16:00:00,1510,P,150918,,0.15,0.15,1.1,,,2465,-0.118,0.001,3.294,-4.488,-0.221,0,-1
,SPX 15U1510D25,SepW4 1510 Puts,150903,16:00:00,1510,P,150925,0.457,0.73,0.75,1.05,0.233,,65,-0.406,0.003,12.708,-13.754,-1.229,0,-1
,SPX 15U1510D30,SepQ 1510 Puts,150903,16:00:00,1510,P,150930,0.431,1.12,0.95,1.45,0.071,1,246,-0.577,0.004,18.658,-14.44,-2.088,0,1.19
,SPX 15V1510D2,OctW1 1510 Puts,150903,16:00:00,1510,P,151002,0.43,1.4,1.3,1.7,0.071,,24,-0.695,0.005,22.282,-16.186,-2.649,0,-1
,SPX 15V1510,Oct 1510 Puts,150903,16:00:00,1510,P,151016,0.41,3.42,2.85,3.9,-0.012,,766,-1.37,0.008,46.252,-21.491,-7.384,0.003,-1
,SPX 15V1510D30,OctM 1510 Puts,150903,16:00:00,1510,P,151030,0.391,5.84,5.5,6.1,-0.007,,25,-2.025,0.01,72.768,-24.178,-14.588,0.008,-1
,SPX 15W1510,Nov 1510 Puts,150903,16:00:00,1510,P,151120,0.373,9.43,8.6,10.1,-0.008,,18,-2.878,0.013,108.4,-25.687,-27.211,0.019,-1
,SPX 15W1510D30,NovM 1510 Puts,150903,16:00:00,1510,P,151130,0.36,10.86,10.4,11.1,-0.01,,,-3.176,0.014,124.193,-24.852,-34.112,0.027,-1
,SPX 15X1510D31,DecQ 1510 Puts,150903,16:00:00,1510,P,151231,0.344,16.38,15.8,16.7,-0.008,,,-4.144,0.017,174.447,-24.821,-59.891,0.049,-1
,SPX 15U1515D4,SepW1 1515 Puts,150903,16:00:00,1515,P,150904,,0,,0.05,,,66,0,0,0,0,0,0,-1
,SPX 15U1515D11,SepW2 1515 Puts,150903,16:00:00,1515,P,150911,,0.01,0.05,0.2,,,1,-0.014,0,0.4,-0.788,-0.017,0,-1
