Date,SPX,VIX,OIS
1/3/2017,2257.830078,12.85,9.296598672
1/4/2017,2270.75,11.85,-1.465832627
1/5/2017,2269,11.67,0.93375698
1/6/2017,2276.97998,11.32,-0.332987978
1/9/2017,2268.899902,11.56,4.357718589
1/10/2017,2268.899902,11.49,7.22446279
1/11/2017,2275.320068,11.26,6.921697996
1/12/2017,2270.439941,11.54,12.32759612
1/13/2017,2274.639893,11.23,12.21824433
1/17/2017,2267.889893,11.87,20.11146102
1/18/2017,2271.889893,12.48,28.57860869
1/19/2017,2263.689941,12.78,31.51114192
1/20/2017,2271.310059,11.54,19.60306245
1/23/2017,2265.199951,11.77,23.39288894
1/24/2017,2280.070068,11.07,10.47078046
1/25/2017,2298.370117,10.81,-0.423649121
1/26/2017,2296.679932,10.63,0.768877868
1/27/2017,2294.689941,10.58,3.518540446
1/30/2017,2280.899902,11.88,13.14634119
1/31/2017,2278.870117,11.99,17.11438845
2/1/2017,2279.6001,11.81,18.6185275
2/2/2017,2280.8999,11.93,23.12769046
2/3/2017,2297.3999,10.97,5.603322117
2/6/2017,2292.6001,11.37,11.17246804
2/7/2017,2293.1001,11.29,13.0694871
2/8/2017,2294.7,11.45,17.35031894
2/9/2017,2307.8999,10.88,7.286857684
2/10/2017,2316.1001,10.85,7.232211439
2/13/2017,2328.3,11.07,6.972592966
2/14/2017,2337.6001,10.74,3.555218641
2/15/2017,2349.3,11.97,14.27113404
2/16/2017,2347.2,11.76,15.07687889
2/17/2017,2351.2,11.49,15.0200867
2/21/2017,2365.3999,11.57,11.95428598
2/22/2017,2362.8,11.74,16.65084874
2/23/2017,2363.8,11.71,19.79531109
2/24/2017,2367.3,11.47,20.09913981
2/27/2017,2369.7,12.09,28.89163077
2/28/2017,2363.6001,12.92,38.27235387
3/1/2017,2396,12.54,5.428469177
3/2/2017,2381.8999,11.81,-4.279166006
3/3/2017,2383.1001,10.96,-10.07360033
3/6/2017,2375.3,11.24,-5.986870917
3/7/2017,2368.3999,11.45,-2.004877989
3/8/2017,2363,11.86,4.303426153
3/9/2017,2364.8999,12.3,11.95459022
3/10/2017,2372.6001,11.66,6.907651419
3/13/2017,2373.5,11.35,7.544093147
3/14/2017,2365.5,12.3,18.08199324
3/15/2017,2385.3,11.63,2.403800416
3/16/2017,2381.3999,11.21,1.004946944
