20190218 19:57:54.562165 4 2 1 100 Max rate of messages per second has been exceeded:max=50 rec=926 (1) 
20190218 19:57:55.467413 4 2 -1 2119 Market data farm is connecting:usopt 
20190218 19:57:55.861144 4 2 -1 2104 Market data farm connection is OK:usopt 
20190218 19:57:55.984509 4 2 243 101 Max number of tickers has been reached 
20190218 19:57:55.985574 4 2 126 101 Max number of tickers has been reached 
20190218 19:57:55.986407 4 2 -1 2119 Market data farm is connecting:usfarm.nj 
20190218 19:57:55.987152 4 2 151 101 Max number of tickers has been reached 
20190218 19:57:55.988039 4 2 236 101 Max number of tickers has been reached 
20190218 19:57:55.989274 4 2 179 101 Max number of tickers has been reached 
20190218 19:57:55.990195 4 2 260 101 Max number of tickers has been reached 
20190218 19:57:55.991233 4 2 276 101 Max number of tickers has been reached 
20190218 19:57:55.992119 4 2 147 101 Max number of tickers has been reached 
20190218 19:57:55.992930 4 2 187 101 Max number of tickers has been reached 
20190218 19:57:55.993777 4 2 281 101 Max number of tickers has been reached 
20190218 19:57:55.994694 4 2 107 101 Max number of tickers has been reached 
20190218 19:57:55.995659 4 2 142 101 Max number of tickers has been reached 
20190218 19:57:55.996737 4 2 105 101 Max number of tickers has been reached 
20190218 19:57:55.997613 4 2 103 101 Max number of tickers has been reached 
20190218 19:57:55.998621 4 2 136 101 Max number of tickers has been reached 
20190218 19:57:55.999617 4 2 175 101 Max number of tickers has been reached 
20190218 19:57:56.001384 4 2 270 101 Max number of tickers has been reached 
20190218 19:57:56.005470 4 2 269 101 Max number of tickers has been reached 
20190218 19:57:56.006561 4 2 102 101 Max number of tickers has been reached 
20190218 19:57:56.007349 4 2 170 101 Max number of tickers has been reached 
20190218 19:57:56.008063 4 2 272 101 Max number of tickers has been reached 
20190218 19:57:56.008944 4 2 212 101 Max number of tickers has been reached 
20190218 19:57:56.009694 4 2 218 101 Max number of tickers has been reached 
20190218 19:57:56.010404 4 2 165 101 Max number of tickers has been reached 
20190218 19:57:56.011224 4 2 233 101 Max number of tickers has been reached 
20190218 19:57:56.012052 4 2 124 101 Max number of tickers has been reached 
20190218 19:57:56.012924 4 2 208 101 Max number of tickers has been reached 
20190218 19:57:56.013700 4 2 245 101 Max number of tickers has been reached 
20190218 19:57:56.014547 4 2 148 101 Max number of tickers has been reached 
20190218 19:57:56.015259 4 2 216 101 Max number of tickers has been reached 
20190218 19:57:56.016045 4 2 227 101 Max number of tickers has been reached 
20190218 19:57:56.016827 4 2 274 101 Max number of tickers has been reached 
20190218 19:57:56.017597 4 2 244 101 Max number of tickers has been reached 
20190218 19:57:56.018477 4 2 125 101 Max number of tickers has been reached 
20190218 19:57:56.020270 4 2 174 101 Max number of tickers has been reached 
20190218 19:57:56.022393 4 2 271 101 Max number of tickers has been reached 
20190218 19:57:56.023422 4 2 162 101 Max number of tickers has been reached 
20190218 19:57:56.024184 4 2 203 101 Max number of tickers has been reached 
